636436362099601408	neutral	Fyi, it's "Go Topless day" on Sunday. In NYC fans of gender equality will be marching in a Pride Parade. http://t.co/3M09Twea8V
639044904094666752	positive	Long life&amp; pros "@Shawnife_: Happy 15th birthday to the legendary Nokia 3310... The father of mobile phones ??pic.twitter.com/pQD2ScuDobb"
641393171008720896	neutral	ppl are saying starlight stage ios will be out on the 15th bitch where
637011130947399681	negative	As Chemtrails of poisonous Aluminum dim out the sun, Monsanto unveils new patents on GM seeds tolerant to Aluminum and sunlight deprivation.
641389642604937216	neutral	@ianbremmer @Eagle_Vision I'm sure Hillary kept a copy of all the original emails somewhere. Where is the 5th thumb-drive Hillary?
639457694919753730	neutral	Jeb Bush's new stance on Trump: Bring it on: For the second day in a row on Wednesday, the Bush campaign went ... http://t.co/lJXGqpd6EZ
634759069069348865	neutral	Tsipras resigns like a martyr. Blames Troika for driving Greece to the edge. But it is Tsipras that may have pushed Greece over it.
638014629021622273	positive	I don't wait till January for the next season of Teen Wolf #TeenWolfSeason5B
641432100785266689	positive	I love my Nike players!! Way to go Serena! Expecting great things from you tomorrow, federer!
635669962074554368	negative	Yeah, I know it's Sunday delivery &amp; whatnot - and who else does that?! - but my Amazon Prime package is 3 and a half hours late... So far...
634404234432151552	negative	Why does Tom Cruise take 10,000 times to figure things out in the movie Edge Of Tomorrow, but gets it right 1st time in Mission Impossible?
640532590995247104	positive	It's Sunday....  But Bernie Sanders is my #MCM just saying. He is going to be a great president. I say is because... http://t.co/YMAGPsnxwr
636171605014618112	negative	"An interesting toy". Looks like the the Swatch CEO isn't a fan of the Apple Watch (via guardiantech) http://t.co/iur8nx6dBP
640688164588363776	neutral	@16KTS @Flareonys Nintendo needs some more 3rd party reps, but at the same time that's what makes them pure.
636928427082317824	neutral	Is there anyone going for AC/DC concert on Nov?
641277646056374272	positive	Good News: @Film_Movement will be releasing us in the US. VOD, iTunes and Amazon from Oct 2nd, DVD Dec 1st - all under a new title: AMOROUS
641358272818102272	positive	In this, the 4th roll out of the Hillary campaign, SPONTANEITY is the operative word !!
641359048323919872	positive	A very happy 30th birthday to CBBC for tomorrow!  One of my first jobs in the BBC was a VT Op into Pres A &amp; then TC9! http://t.co/CdgIRq2fCP
637487993171808260	positive	I just saw Jurassic World for the 7th time in theaters and yes it was worth every penny
620838510191362048	positive	Varoufakis may have some expertise in game theory, but Angela Merkel is the Grand Master of the game  http://t.co/mnz0XfzF1K
640896835234701312	positive	The new episode will be up on Friday but you can prepare by watching @Madonna dry her pits for free on Amazon Prime. http://t.co/PqzgM739gp
641475286228271108	negative	I think Google may be worried that if they allow people just to add sites on Google Now, then people will use it like Google Reader.
637303765108981760	positive	With Joe Biden, campaign 2016 fun about to begin http://t.co/t2FEgC9OWj via @WashTimes #Election2016
639352599288877056	neutral	@vukosi @Microsoft Please have a look at this link and see if the errors mentioned may correspond to your errors. http://t.co/9Tj4Nhkoyo
634370089270177793	neutral	I Know for a lot of people it's Valentine's Day but for some it's just SATURDAY
624248411244642304	positive	David Beckham Gives $100,000 To Shocked Family On TV - David Beckham just scored a really big assist. In Tuesday's... http://t.co/ErWsAOsUnD
640023479941754880	positive	Answer: Yes, people are connecting with what Bernie Sanders is saying.  Do you hear me Hillary Clinton? #Bernie2016 https://t.co/uVMTavJNjD
639135950149390337	positive	Sir Alex pays tribute to Becks - See what Sir Alex and others had to say about David Beckham as he receives Legend .. http://t.co/nl8OqgeN4n
635713078991032320	positive	@kamixxo tickets are 60 or 114 but I'm getting the 114 oneeeee lol I just need to know who down frfr. December 5 at oracle
641448902596653056	positive	Just got Madonna tickets for the 2nd night at MSG for myself and  Matthew Carl-Brucker Toles.....  which means 4... http://t.co/KpRSJKJXzJ
641350001637982209	negative	ordered my back pack off of Amazon 3 weeks ago and it turns out they lost my package and school starts tomorrow #sick
632684227088117760	neutral	@HuffPostPol That may be so, but some of us worry about Hillary's love of Wall Street and Monsanto.
627186040055296000	positive	@TVP_horses Good luck Thor, Samsom,Odin and Ceasar.  Do the Mounties proud. May tomorrow's Pride Parade be a big success.
