622309536825630720	neutral	#Green #Environment Five fascinating facts that you may not know about sea turtles - Digi... http://t.co/GhthxzDtvf #Wild #Planet #Earth
641601136290607104	positive	Calling all @RyanSounds Kerry fans he is live this FRIDAY Tickets 0646671555 http://t.co/Im6X3ubzFM
635014939581784064	neutral	'Angela Merkel is right: the migration crisis will define this decade'. http://t.co/xFxH6tR7g8
639979760735662080	neutral	everyone who sat around me at metlife was so annoying but i didnt let it ruin such an amazing night
632437026885734400	positive	Well, it's gonna be about 100 tomorrow at @UniStudios. We're gonna have to ride Jurassic Park a few times!
621519370921967620	negative	So it turns out Amazon Prime Day *did* turn out a lot like Black Friday--overhyped and not worth the time. #BitterOldManTweet
641648879646175232	negative	Amazon prime is literally a lie....I ordered a book LAST MONDAY &amp; it still isn't here. do better @amazon
641445679471198208	negative	@KennyHerzog In this series the Nationals may have lost the division and Harper may have lost the MVP.
629866748368564224	positive	Galaxy Note 5 leaks S6 style plus pop out pen - released on Aus on the 14th http://t.co/rka4cooijz
637305548279533568	positive	@Bielsa_1899 @DiMarzio i think it's impossible. Juventus has just sold Llorente, so Zaza is needed as 4th or 5th striker on the bench.
640996620939710465	negative	Sorry, Harper, but for once just take the blame. Nats' blew the game.  https://t.co/cQLmq9CofS
639689301438017536	positive	Who would forget this? Batman&amp;Batgirl together under the setting sun. GU days.  #Happy4thAnniversaryKathNiel PSYKubli http://t.co/izX4aJrayI
635724781216624640	neutral	Welcome to Kevin Oduah's Blog : Is Mariah Carey pregnant with James Packer's child... http://t.co/9K4zVdHTEr
641233472691040256	positive	Just caught up with made in Chelsea hope jinky sort it out they would be great together, can't wait for next Monday #MadeInChelsea
639951186783784960	positive	@markiplier I have faith that tonight I may win an iPod which would mean the world to me and I would treasure it qith my life
635388511495962624	positive	I've cried less over my last breakup than i've cried over the 10th season of Game of Thrones. @GameOfThrones
641400225932931072	neutral	@HillaryClinton @TheFix @TheEllenShow Hillary has got 2 get it together by #October cuz U know whomever d Repub's nominee #Readyfortheshow!!
629190623157878784	positive	I may say a lot of things about Fleetwood Mac, but the Rumours album is practically perfect.
641212471915773952	negative	@NEWS957 Harper &amp; cabal insult the intelligence of Canadians on a daily basis. Tired of all the lies &amp; spin. Roll on Oct 19th! #auditthisPOS
639001343689101312	neutral	JS News 2 September 2015 - Paul Southwell, Head of Junior School From bears to Batman, the JS's Book Week Parade.. http://t.co/eBryvicYDo
641544991836372992	positive	September 8: Justin on the set of Ellen in New York.#WhatDoYouMean #EllenInNYC #WeLoveYouJustin #Boo http://t.co/aDUPySYQjZ
628869004535447552	neutral	#Germany's leader Angela Merkel @Angie_Merkel  to run for 4th term, she is in talks about her election campaign according to #DerSpiegel
641299590021562368	positive	Going to see Messi the magician play in November! #Campnou https://t.co/gl1iY9XZ7f
641582862085562368	neutral	The Professional Development Series is off this week for Labor Day.  We will return next Tuesday with another #webinar.
641648153842839552	positive	Here's the AM message form PFBC this Sunday for those away for Labor Day..."Web of Lies" in Acts 5:6-11 https://t.co/qjZjRxlNHV via @YouTube
640616661683445760	positive	Heyy&lt;3 So as tomorrow's the first day of school...bye I had a good life. -.- :D #jk Sleep well and dream about Harry Potter like I will:D &lt;3
635610705761275904	positive	So I get to go see the Magic Mike XXL live show this Friday.. I'm in heaven
